Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8045486851457001,0.6504559270516718,0.5721925133689839,0.6088193456614509,0.8360714082341553
Random Forest,0.7867803837953091,0.6225165562913907,0.5026737967914439,0.5562130177514792,0.8172189407312691
XGBoost,0.7846481876332623,0.61198738170347,0.5187165775401069,0.5615050651230101,0.8318859973805592
