Threshold,Precision,Recall,F1-Score
0.3,0.5126811594202898,0.7566844919786097,0.6112311015118791
0.35,0.5454545454545454,0.7219251336898396,0.6214039125431531
0.4,0.5778781038374717,0.6844919786096256,0.6266829865361077
0.45,0.6061381074168798,0.6336898395721925,0.6196078431372549
0.5,0.6504559270516718,0.5721925133689839,0.6088193456614509
0.55,0.6703703703703704,0.4839572192513369,0.562111801242236
0.6,0.6792452830188679,0.3850267379679144,0.49146757679180886
0.65,0.6883116883116883,0.28342245989304815,0.4015151515151515
0.7,0.7590361445783133,0.16844919786096257,0.27571115973741794
